line,verse,part,text
279,70,4,เหมือนหนึ่งพี่น้องสนิทร่วมจิตใจ
280,71,1,จะให้แก้วแล้วก็ว่าไปหาเถิด
281,71,2,มิให้เกิดการระแวงแหนงไฉน
282,71,3,ที่ขัดข้องหมองหมางเป็นอย่างไร
283,71,4,จะผันแปรแก้ไขด้วยใกล้เคียง
284,72,1,สดับคำฉ่ำชื่นจะยื่นแก้ว
285,72,2,แล้วคลาดแคล้วคลับคล้ายเคลิ้มหายเสียง
286,72,3,ทรงปักษาการเวกแฝงเมฆเมียง
287,72,4,จึ่งหมายเสี่ยงวาสนาอุตส่าห์คอย
288,73,1,เหมือนบุปผาปารึกชาติชื่น
289,73,2,สุดจะยื่นหยิบได้มีไม้สอย
290,73,3,ด้วยเดชะพระกุศลให้หล่นลอย
291,73,4,ลงมาหน่อยหนึ่งเถิดนะจะประคอง
292,74,1,มิให้เคืองเปลื้องปลดเสียยศศักดิ์
293,74,2,สนอมรักร้อยปีไม่มีหมอง
294,74,3,แม้นมั่งมีพี่จะจ้างพวกช่างทอง
295,74,4,หล่อจำลองรูปวางไว้ข้างเคียง
296,75,1,คิดจนตื่นฟื้นฟังระฆังฆ้อง
297,75,2,กลองหอกลองทึ้มทึ้มกระหึ่มเสียง
298,75,3,โกกิลากาแกแซ่สำเนียง
299,75,4,โอ้นึกเพียงขวัญหายไม่วายวัน
300,76,1,วิสัยเราเล่าก็ไม่สู้ใฝ่สูง
301,76,2,นางฟ้าฝูงไหนเล่ามาเข้าฝัน
302,76,3,ให้เฟือนจิตกิจกรมพรหมจรรย์
303,76,4,ฤๅสาวสวรรค์นั้นจะใคร่ลองใจเรา
304,77,1,ให้รักรูปซูบผอมตรมตรอมจิต
305,77,2,เสียจริตคิดขยิ่มง่วงหงิมเหงา
306,77,3,จะได้หัวเราะเยาะเล่นทุกเย็นเช้า
307,77,4,จึงแกล้งเข้าฝันเห็นเหมือนเช่นนี้
308,78,1,แม้นนางอื่นหมื่นแสนแดนมนุษย์
309,78,2,นึกกลัวสุดแสนกลัวเอาตัวหนี
310,78,3,สู้นิ่งนั่งตั้งมั่นถือขันตี
311,78,4,อยู่กระฎีดั่งสันดานนิพพานพรหม
312,79,1,รักษาพรตปลดปละสละรัก
313,79,2,เพราะน้ำผักต้มหวานน้ำตาลขม
314,79,3,คิดรังเกียจเกลียดรักหักอารมณ์
315,79,4,ไม่นิยมสมสวาทเป็นขาดรอน
316,80,1,แต่ครั้งนี้วิปริตนิมิตฝัน
317,80,2,เฝ้าผูกพันมั่นหมายสายสมร
318,80,3,สาวสวรรค์ชั้นฟ้าจงถาวร
319,80,4,เจริญพรพูนสวัสดิ์กำจัดภัย
320,81,1,ซึ่งผูกจิตพิศวาสหมายมาดมุ่ง
321,81,2,มักนอนสะดุ้งด้วยพระขวัญจะหวั่นไหว
322,81,3,เสวยสวรรค์ชั้นฟ้าสุราลัย
323,81,4,ช่วยเลื่อมใสโสมนัสสวัสดี
324,82,1,ขอเดชะพระอุมารักษาสวาท
325,82,2,ให้ผุดผาดเพียงพักตร์พระลักษมี
326,82,3,วิมานแก้วแววฟ้าฝูงนารี
327,82,4,คอยพัดวีแวดล้อมอยู่พร้อมเพรียง
328,83,1,ขอเดชะพระอินทร์ดีดพิณแก้ว
329,83,2,ให้เจื้อยแจ้วจับใจแจ่มใสเสียง
330,83,3,สาวสุรางค์นางรำระบำเรียง
331,83,4,คอยขับกล่อมพร้อมเพรียงเคียงประคอง
332,84,1,ขอพระจันทร์กรุณารักษาศรี
333,84,2,ให้เหมือนมณีนพเก้าอย่าเศร้าหมอง
334,84,3,เหมือนหุ่นเชิดเลิศล้วนนวลละออง
335,84,4,ให้ผุดผ่องผิวพรรณเพียงจันทรา
336,85,1,ขอพระพายชายเชยรำเพยพัด
337,85,2,ให้ศรีสวัสดิ์สว่างจิตกนิษฐา
338,85,3,หอมดอกไม้ในทวีปกลีบผกา
339,85,4,ให้หอมชื่นรื่นวิญญาณ์นิทรารมณ์
340,86,1,ขอเดชะพระคงคารักษาสนอม
341,86,2,อย่าให้มอมมีระคายเท่าปลายผม
342,86,3,ให้เย็นเรื่อยเฉื่อยฉ่ำเช่นน้ำลม
343,86,4,กล่อมประทมโสมนัสสวัสดี
344,87,1,ด้วยเดิมฝันฉันได้ยลวิมลพักตร์
345,87,2,สุดแสนรักลักประโลมโฉมฉวี
346,87,3,ถวิลหวังตั้งแต่นั้นจนวันนี้
347,87,4,ขออย่ามีโทษโปรดยกโทษกรณ์
348,88,1,ด้วยเกิดเป็นเช่นมนุษย์บุรุษราช
349,88,2,มาหมายมาดนางสวรรค์ร่วมบรรจถรณ์
350,88,3,ขอษมาการุญพระสุนทร
351,88,4,ให้ถาพรภิญโญเดโชชัย
352,89,1,อนึ่งโยมโฉมยงพระองค์เอก
353,89,2,มณีเมขลามาโปรดปราศรัย
354,89,3,จะให้แก้วแล้วอย่าลืมที่ปลื้มใจ
355,89,4,ขอให้ได้ดั่งประโยชน์โพธิญาณ
356,90,1,จะพ้นทุกข์สุขสิ้นมลทินโทษ
357,90,2,เพราะพระโปรดโปรยปรายสายสนาน
358,90,3,ให้หน้าชื่นรื่นรสพจมาน
359,90,4,เหมือนนิพพานพ้นทุกข์เป็นสุขสบาย
360,91,1,บวชตะบึงถึงตะบันน้ำฉันชื่น
361,91,2,ยามดึกดื่นได้สังวรอวยพรถวาย
362,91,3,เหมือนพระจันทร์กรุณาให้ตายาย
363,91,4,กับกระต่ายแต้มสว่างอยู่กลางวง
364,92,1,เหมือนวอนเจ้าสาวสวรรค์กระสันสวาท
365,92,2,ให้ผุดผาดเพิ่มผลาอานิสงส์
366,92,3,ได้สมบูรณ์พูนเกิดประเสริฐทรง
367,92,4,ศีลดำรงร่วมสร้างพุทธางกูร
368,93,1,อันโลกีย์วิสัยที่ในโลก
369,93,2,ความสุขโศกสิ้นกายก็หายสูญ
370,93,3,เป็นมนุษย์สุดแต่ขอให้บริบูรณ์
371,93,4,ได้เพิ่มพูนผาสุกสนุกสบาย
372,94,1,ขอบุญพระจะให้อยู่ชมพูทวีป
373,94,2,ช่วยชุบชีพชูเชิดให้เฉิดฉาย
374,94,3,ไม่ชื่นเหมือนเพื่อนมนุษย์ก็สุดอาย
375,94,4,สู้ไปตายตีนเขาลำเนาเนิน
376,95,1,โอ้ปีนี้ปีขาลบันดาลฝัน
377,95,2,ที่หมายมั่นเหมือนจะหมางระคางเขิน
378,95,3,ก็คิดเห็นเป็นเคราะห์จำเพาะเผอิญ
379,95,4,ให้ห่างเหินโหยหวนรำจวนใจ
380,96,1,จึงแต่งตามความฝันรำพันพิลาป
381,96,2,ให้ศิษย์ทราบสุนทราอัชฌาสัย
382,96,3,จะสั่งสาวชาวบางกอกข้างนอกใน
383,96,4,ก็กลัวภัยให้ขยาดพระอาชญา
384,97,1,จึ่งเอื้อมอ้างนางสวรรค์ตามฝันเห็น
385,97,2,ให้อ่านเล่นเป็นเล่ห์เสน่หา
386,97,3,ไม่รักใครในแผ่นดินถิ่นสุธา
387,97,4,รักแต่เทพธิดาสุราลัย
388,98,1,ได้ครวญคร่ำร่ำเรื่องเป็นเครื่องสูง
389,98,2,พอพะยุงยกย่องให้ผ่องใส
390,98,3,ทั้งสาวแก่แม่ลูกอ่อนลาวมอญไทย
391,98,4,เด็กผู้ใหญ่อย่าเฉลียวว่าเกี้ยวพาน
392,99,1,พระภู่แต่งแกล้งกล่าวสาวสาวเอ๋ย
393,99,2,อย่าถือเลยเคยเจนเหมือนเหลนหลาน
394,99,3,นักเลงกลอนนอนฝันเป็นสันดาน
395,99,4,เคยเขียนอ่านอดใจมิใคร่ฟัง
396,100,1,จะฝากดีฝีปากจะฝากรัก
397,100,2,ด้วยจวนจักจากถิ่นถวิลหวัง
398,100,3,ไว้อาลัยให้ละห้อยจะคอยฟัง
399,100,4,จะร่ำสั่งสิ้นสุดอยุธยา
400,101,1,โอ้ยามนี้ปีขาลสงสารวัด
401,101,2,เคยโสมนัสในอารามสามวัสสา
402,101,3,สิ้นกุศลผลบุญการุณา
403,101,4,จะจำลาเลยลับไปนับนาน
404,102,1,เคยเดินเล่นเย็นลมเลียบชมรอบ
405,102,2,ริมแขวงขอบเขตที่เจดียฐาน
406,102,3,พระปรางค์มีสี่ทิศพิสดาร
407,102,4,โบสถ์วิหารการเปรียญล้วนเขียนทอง
408,103,1,ที่หน้าบันปั้นอย่างเมืองกวางตุ้ง
409,103,2,ดูเรืองรุ่งรูปนกผกผยอง
410,103,3,กระเบื้องเคลือบเหลือบสลับเหลี่ยมรับรอง
411,103,4,ศาลาสองหน้ารอบขอบกำแพง
412,104,1,สิงโตจีนตีนตัวหน้ากลัวกลอก
413,104,2,ขยับขยอกแยกเขี้ยวเสียวแสยง
414,104,3,ที่ตึกก่อช่อฟ้าใบระกาแดง
415,104,4,ริมกำแพงตะพานขวางเคียงข้างคลอง
416,105,1,เป็นพลับพลาพาไลข้างในเสด็จ
417,105,2,เดือนสิบเบ็ดเคยประทานงานฉลอง
